Site,Date,Month,Year,Level (m ngvd29),SRP(mg/L),NH4,NO3,TDN,DOC(mg/L),Cl,SO4(mg/L),DON,Temp,Conductivity(mS/cm),DO (%),DO (mg/L),pH,Restoration day,prec
Inflow,7/15/10,7,2010,0.4592,0.0067824,0.270588,0.032353216,2.010887,52.87684,26.50408636,0.715130437,1.707945784,25.38,0.142,14.9,,3.42,1234,0
Inflow,7/22/10,7,2010,0.3897,0.0073776,0.305916,0.014006164,1.951289,54.25498,27.28240667,0.555902192,1.631366837,26.94,0.141,8.7,,2.82,1241,0
Inflow,7/29/10,7,2010,0.3003,0.0181656,0.6879,0.03669801,2.842487,64.69138,27.59577143,0.776643685,2.11788899,26.29,0.147,9.2,,1.93,1248,2.695754717
Inflow,8/4/10,8,2010,0.2475,0.0140736,0.98598,0.013901779,3.692798,77.4559,28.45874276,0.472952844,2.692916222,25.13,0.157,5.4,,2.43,1254,0.299528302
Inflow,8/12/10,8,2010,0.2596,0.0137016,1.05774,0.014820924,3.409361,77.68336,27.53300181,1.896908243,2.336800076,26.27,0.149,12.3,,2.73,1262,10.9827044
Inflow,8/19/10,8,2010,0.3309,0.013032,1.03566,0.023621513,3.727,79.25,28.83817427,2.857023314,2.667718487,25.3,0.171,5.8,,2.97,1269,0.499213836
Inflow,8/26/10,8,2010,0.3571,0.0166032,1.36686,0.01630901,4.064,85.3,31.79208961,2.356145626,2.68083099,24.62,0.179,7.5,,1.85,1276,0
Inflow,9/1/10,9,2010,0.3037,0.015658486,2.499178571,0.0057617,5.228,89.78,41.25474973,1.326489014,2.723059729,22.65,0.196,5.4,,3.55,1282,0.299528302
Inflow,9/9/10,9,2010,0.3242,0.010261886,2.958975286,0.005627849,5.093,70.93,57.28180687,1.072178192,2.128396865,21.53,0.246,,,2.79,1290,0
Inflow,9/16/10,9,2010,0.3022,0.007605747,3.859925184,0.004558074,5.4895,57,77.44461479,0.9837485,1.625016742,,,,,,1297,0
Inflow,9/23/10,9,2010,0.2364,0.0025,4.144034541,0.005680513,5.158,28.08,92.26744936,0.788054566,1.008284946,,,,,,1304,0.254000013
Inflow,10/1/10,10,2010,0.7188,0.093562286,0.046207086,0.613924811,1.589,15.29,9.655837215,5.559928302,0.928868104,,,,,,1312,1.524000079
Inflow,10/7/10,10,2010,0.8224,0.007376766,0.011328333,0.011596511,1.344,42.9,11.15572793,11.30700272,1.321075156,,,,,,1318,15.74799966
Inflow,10/13/10,10,2010,0.7507,0.010919672,0.083545167,0.003368643,1.474,40.99,11.97693256,9.842522745,1.38708619,,,,,,1324,0
Inflow,10/21/10,10,2010,0.6883,0.007895214,0.335814375,0.002268334,1.781,51.02,33.06255116,2.610321531,1.442917291,16.76,0.16,11.6,1.1,2.66,1332,0
Inflow,10/28/10,10,2010,0.662,0.010131505,0.326843125,,2.149,59.52,,,,18.26,0.192,1.8,0.17,1.78,1339,0.76200004
Inflow,11/3/10,11,2010,0.6257,0.00346,0.264089186,0.064792638,2.906512,92.83512,42.69672701,1.009450497,2.577630176,14.47,0.195,3.1,0.31,3.66,1345,1.524000079
Inflow,11/11/10,11,2010,0.6436,0.0025,0.293591125,0.059285567,2.302952,74.14392,38.52323772,0.5567044,1.950075308,11.4,0.181,2.5,0.27,2.78,1353,0
Inflow,11/18/10,11,2010,,0.00298,0.351682805,0.058137206,2.30864,72.50136,40.22164758,0.571337535,1.89881999,11.19,0.187,3.1,0.33,2.02,1360,0
Inflow,11/26/10,11,2010,,0.00311,0.351999767,0.056694534,2.639176,71.18448,42.89502177,0.594384302,2.2304817,12.07,0.193,6.6,0.69,2.12,1368,2.286000119
Inflow,12/2/10,12,2010,,0.00362,0.373099389,0.054781154,2.065952,68.05512,45.50818693,0.365678273,1.638071457,10.62,0.2,8.1,0.89,2.49,1374,0
Inflow,12/9/10,12,2010,,0.00254,0.370683769,0.049902078,2.395856,73.22352,43.98092978,0.429509003,1.975270154,5.62,0.196,9.3,1.14,2.24,1381,0.508000026
Inflow,12/15/10,12,2010,0.6064,0.0062,0.455396149,0.025187339,2.240384,66.35592,43.07439146,0.290636969,1.759800512,4.39,0.197,14.6,1.93,3.76,1387,0.508000026
Inflow,12/23/10,12,2010,0.6269,0.00529,0.430661546,0.034753549,1.968,57.30768,39.55584562,0.645786598,1.502584905,4.23,0.185,10.2,1.33,3.52,1395,0
Inflow,12/30/10,12,2010,0.6293,0.00369,0.364657121,0.039217482,1.797,56.1324,38.25012184,0.888960594,1.393125397,3.89,0.174,24.8,3.01,3.29,1402,4.064000212
Inflow,1/7/11,1,2011,0.6479,0.0025,0.288838148,0.042280914,1.67032,53.1588,35.0829579,0.999611768,1.339200939,4.74,0.164,21.5,2.7,3.65,1410,0.508
Inflow,1/13/11,1,2011,0.6405,0.00459,0.251617861,0.042486707,1.727832,54.54648,33.93360845,0.813753423,1.433727432,4.3,0.159,17,2.17,3.54,1416,0
Inflow,1/20/11,1,2011,0.701,0.004875652,0.233931253,0.004089736,1.543,50.42,34.22127057,0.367181269,1.30497901,5.22,0.155,28,3.44,3.57,1423,0.508
Inflow,1/27/11,1,2011,0.6947,0.002386557,0.200796027,0.005005344,1.534,51.14,28.91498379,0.36025545,1.32819863,4.81,0.143,32.7,4.15,3.39,1430,0.508
Inflow,2/3/11,2,2011,0.6676,0.00196127,0.14823796,0.002721438,1.055,32.88,12.76836104,0.156089122,0.904040602,6.76,0.139,39,4.73,0.02,1437,1.27
Inflow,2/11/11,2,2011,0.7238,0.001996341,0.135724,0.005319265,1.394,49.09,24.51722367,1.070747873,1.252956735,6.12,0.125,41.9,5.14,0.78,1445,0
Inflow,2/18/11,2,2011,0.7033,0.00929768,0.1205298,0.004596005,1.401,49.98,21.93230665,1.585383991,1.275874195,9.12,0.119,56,6.45,3.59,1452,0
Inflow,2/24/11,2,2011,,0.0025,0.087151409,0.0005,1.908284,61.18575,23.65863635,0.826572375,1.820632592,9.26,0.123,33.7,3.84,3.35,1458,0
Inflow,3/3/11,3,2011,,0.0025,0.088304,0.009923306,1.769092,60.36325,24.66482605,0.378291009,1.670864694,10.77,0.133,30,3.3,3.42,1465,0
Inflow,3/9/11,3,2011,,0.0025,0.091932056,0.002937868,1.757036,60.52775,24.22828542,0.809496892,1.662166076,11.42,0.125,37.6,4.05,3.16,1471,0
Inflow,3/17/11,3,2011,,0.00521133,0.086189338,0.014142371,1.748816,57.226,22.74422587,0.71808001,1.648484291,11.66,0.123,22.6,2.43,1.2,1479,0
Inflow,3/25/11,3,2011,0.6746,0.0025,0.060252132,0.014753427,1.493448,53.03125,22.81510542,0.598792064,1.41844244,14.39,0.122,22.1,2.22,2.84,1487,0
Inflow,3/31/11,3,2011,0.7099,0.0025,0.072116085,0.017637307,1.705524,56.55625,24.09042506,0.49267723,1.615770608,9.39,0.118,28.3,3.21,2.24,1493,0
Inflow,4/7/11,4,2011,0.6943,0.0025,0.047465406,0.008977234,1.575648,55.9805,23.10065595,0.45834697,1.51920536,13.42,0.121,31,3.18,3.45,1500,0
Inflow,4/14/11,4,2011,0.6781,0.0025,0.071239662,0.012657354,1.662232,58.24825,23.35211074,0.619452371,1.578334984,17.18,0.12,18.2,1.63,3.42,1507,0
Inflow,4/21/11,4,2011,0.6937,0.0025,0.129338718,0.058785475,2.025008,56.2155,20.78486089,2.926611083,1.836883807,18.59,0.111,19.4,1.78,4.13,1514,0
Inflow,4/27/11,4,2011,0.67,0.0025,0.056584197,0.012266534,2.168036,71.279,24.71213561,0.789660725,2.099185269,21.61,0.126,8.3,0.72,3.46,1520,0
Inflow,5/6/11,5,2011,0.6348,0.0025,0.112144789,0.0005,2.230508,67.55425,23.07611196,0.39716488,2.117863211,17.36,0.114,13.6,1.29,3.69,1529,0
Inflow,5/11/11,5,2011,0.5986,0.0025,0.016971699,0.011596484,2.01624,68.56475,24.9732739,0.259558161,1.987671818,17.99,0.13,8.5,0.8,3.4,1534,0
Inflow,5/19/11,5,2011,0.5517,0.0025,0.061057341,0.002384362,2.109948,70.2215,26.86120958,0.211045394,2.046506298,19.58,0.134,8.1,0.73,3.43,1542,0
Inflow,5/26/11,5,2011,0.5326,0.014136,0.117191,0.006392904,1.632651,64.97692,25.77172601,0.460949866,1.509067096,19.74,0.133,11.4,1.01,3.46,1549,0
Inflow,6/2/11,6,2011,0.4666,0.00788752,0.0025,0.0005,1.651793,65.19571,28.20602237,0.26772988,1.648793,22.3,0.138,11.7,0.99,4.27,1556,0
Inflow,6/9/11,6,2011,0.3936,0.005708,0.169685,0.002483021,1.657986,64.75813,27.43762829,0.311709336,1.485817979,22.19,0.143,6.2,0.53,4.17,1563,0
Inflow,6/15/11,6,2011,0.3157,0.0025,0.175069,0.0005,1.580292,63.25234,25.42147853,0.110789454,1.404723,22.32,0.144,5.3,0.46,3.94,1569,0
Inflow,6/23/11,6,2011,0.2421,0.0279964,0.71492,0.007884531,3.344,78.17,31.01219645,0.32,2.62119547,23.01,0.152,9.6,0.83,4.1,1577,0.254
Inflow,6/30/11,6,2011,0.2033,0.00644216,0.11732,0.00647599,1.717,52.25,72.83435044,1.832,1.59320401,24.35,0.148,19.3,1.32,3.66,1584,0.254
Inflow,7/7/11,7,2011,0.2265,0.0025,0.480528,0.013817184,2.258,59.07,28.1371198,2.213,1.763654816,23.74,0.16,9,0.67,3.97,1591,0
Inflow,7/14/11,7,2011,0.1295,0.0025,0.528336,,2.087,59.32,,,1.558664,25.16,0.167,8.3,0.7,4,1598,0
Inflow,7/21/11,7,2011,,0.0025,0.098064,0.023392867,1.962,62.07,35.18599014,0.623,1.840543133,24.75,0.163,7.1,0.58,4.1,1605,0.254
Inflow,7/28/11,7,2011,,0.0025,0.321832,0.01092611,2.052,60.78,36.83133562,0.7,1.71924189,25.74,0.194,9.6,0.76,4.7,1612,0
Inflow,8/4/11,8,2011,0.0673,0.0025,0.428752,0.005739849,2.12,53.92,38.26921372,0.51,1.685508151,26.41,0.207,7.6,0.6,5,1619,0.508
Inflow,8/11/11,8,2011,0.1594,0.0025,1.405,0.003435286,2.779,37.96,70.61824518,3.913,1.370564714,24.68,0.295,12.1,1.04,4.54,1626,0
Inflow,8/18/11,8,2011,0.1104,0.0025,1.33948,0.005884415,2.404,28.42,91.84785562,2.166,1.058635585,23.35,0.376,7.3,0.61,4.91,1633,0
Inflow,8/24/11,8,2011,0.1879,0.0025,2.62486,0.005016236,2.997,15.88,173.3322572,3.069,0.367123764,22.55,0.655,17.5,1.46,4.41,1639,0
Inflow,9/1/11,9,2011,0.6967,0.056512,0.0025,0.0005,1.29,35.89,54.39353357,6.986,1.287,23.3,0.25,30.6,2.5,1.69,1647,0
Inflow,9/8/11,9,2011,0.6319,0.0403112,0.005,0.015,1.35,33.51,85.51844721,4.428,1.33,25.72,0.321,17.3,1.4,5.4,1654,0.762
Inflow,9/14/11,9,2011,0.6302,0.037828,0.0149824,0.015,1.609,38.55,92.66122472,4.297,1.5790176,22.14,0.447,10.9,0.9,8.08,1660,0
Inflow,9/21/11,9,2011,0.6525,0.0140824,0.0174318,0.015,1.202,36.94,119.082256,12.26,1.1695682,22.42,0.411,37,3.07,5.14,1667,0.254
Inflow,9/29/11,9,2011,0.8049,0.0505544,0.005,0.015,1.285,34.44,27.75010133,3.210185672,1.265,23.2,0.132,8.2,0.69,5.61,1675,11.176
Inflow,10/5/11,10,2011,0.7761,0.0212992,0.134672,0.015,1.647,45.92,57.3947883,3.957954237,1.497328,17.03,0.229,16,1.52,4.09,1681,0
Inflow,10/13/11,10,2011,0.7175,0.021144,0.0976,0.015,1.435,47.2,56.14803941,3.668395677,1.3224,18.59,0.2,20.5,1.88,4.8,1689,12.7
Inflow,10/20/11,10,2011,0.6953,0.005,0.0124668,0.015,1.255,49.92,59.79792913,1.890479659,1.2275332,18.08,0.194,14,1.29,4.57,1696,0
Inflow,10/27/11,10,2011,0.6649,0.0122775,0.013208131,0.012706324,1.519104,52.93171,47.36461857,1.324272185,1.493189545,16.25,0.199,17.5,1.67,4.03,1703,0
Inflow,11/2/11,11,2011,0.6568,0.0096425,0.012389183,0.013558296,1.532736,54.77569,50.77793466,0.506891014,1.506788521,12.53,0.209,14,1.42,3.41,1709,0
Inflow,11/10/11,11,2011,0.6507,0.0025,0.016783049,0.004507362,1.268048,45.30319,53.31545071,0.784459378,1.246757589,13.17,0.222,18,1.84,3.14,1716,0
Inflow,11/16/11,11,2011,0.627,0.00664325,0.012838431,0.002320027,1.4038,50.62042,49.95263654,0.823106327,1.388641542,14.93,0.22,50.9,4.95,3.24,1723,1.27
Inflow,11/26/11,11,2011,0.615,0.00858075,0.012156063,0.003015009,1.357224,49.37005,54.06241786,0.473772823,1.342052928,11.4,0.226,8.7,6.93,3.99,1733,0
Inflow,12/7/11,12,2011,0.6009,0.0059535,0.016498219,0.002941226,1.421976,49.04167,54.45281656,0.649116376,1.402536555,12.63,0.219,21.5,2.24,4.03,1738,0
Inflow,12/11/11,12,2011,0.595,0.00847225,0.012747437,0.005646545,1.243624,43.56025,52.61046781,0.948684169,1.225230018,,,,,,1744,4.064
Inflow,12/19/11,12,2011,0.5803,0.0025,0.01712489,0.002225819,1.214656,45.48001,53.79370415,0.396511014,1.19530529,8.73,0.214,22.2,2.54,3.81,1756,0
Inflow,12/28/11,12,2011,0.5764,0.00521725,0.011775162,0.012176859,1.212952,44.15386,53.4684749,0.626587904,1.188999978,9.32,0.214,59.6,6.55,3.59,1765,0
Inflow,1/4/12,1,2012,0.561,0.0062015,0.031814419,0.016485194,1.231128,41.41315,52.99763468,0.509194467,1.182828387,5.04,0.551,94.8,12.06,5.77,1772,0
Inflow,1/12/12,1,2012,0.5862,0.0053955,0.038072534,0.004891231,1.143656,38.77348,51.15020902,0.769119509,1.100692235,8.73,0.209,65,7.53,4.34,1780,0.254
Inflow,1/19/12,1,2012,0.5805,0.0025,0.041185809,0.157360639,1.017,39.68,48.84150299,0.755002479,0.818453552,7.06,0.208,53,6.34,3.45,1787,0
Inflow,1/26/12,1,2012,0.6098,0.0025,0.021596731,0.137546618,0.7542,37.47,43.10098231,1.761315103,0.595056651,8.52,0.201,109.7,12.65,3.44,1794,0
Inflow,2/9/12,2,2012,0.636,0.0025,0.021537238,0.132528344,0.629,35.48,40.63500944,0.887001865,0.474934418,8.93,0.171,57.9,6.68,2.97,1808,0
Inflow,2/15/12,2,2012,0.6377,0.0025,0.017423758,0.125050656,0.7003,39.04,37.71376389,1.145223246,0.557825586,7.83,0.166,95.9,11.33,3.87,1814,0
Inflow,2/23/12,2,2012,0.6948,0.0025,0.016111472,0.113601055,0.6299,33.8,33.77302953,3.440904267,0.500187473,9.41,0.15,112.9,12.9,4.67,1822,2.794
Inflow,3/1/12,3,2012,0.6889,0.0025,0.015476358,0.108030557,0.8673,37.54,31.94682591,2.991458233,0.743793085,10.57,0.142,61,6.72,2.21,1829,0
Inflow,3/8/12,3,2012,0.5391,0.0025,0.10418,0.295278833,1.25,30.1,32.92631917,8.954326562,0.850916167,10.85,0.172,42,4.64,2.04,1836,0
Inflow,3/15/12,3,2012,0.5108,0.0025,0.0025,0.007812893,1.11,37.31,31.48228031,3.494371209,1.095422107,10.77,0.139,16.7,1.84,2.03,1843,0
Inflow,3/22/12,3,2012,0.4727,0.0025,0.0025,0.01641795,1.25,43.27,32.54660926,0.682037855,1.23315205,14.69,0.156,5.8,0.57,2.97,1850,0.254
Inflow,3/29/12,3,2012,0.3621,0.0025,0.0025,0.006015689,1.18,41.72,32.78846481,1.872287766,1.170104311,14.85,0.153,3.9,0.39,2.12,1857,0
Inflow,4/3/12,4,2012,0.3467,0.0025,0.0025,0.003552603,1.16,47.12,29.62324296,0.618129286,1.152792397,15.38,0.138,9.4,0.91,2.23,1863,4.826
Inflow,4/12/12,4,2012,0.3149,0.0025,0.0025,0.010639381,1.22,45.24,5.996096787,0.131818148,1.203900619,13.17,0.155,3.8,0.39,2.85,1871,0
Inflow,4/18/12,4,2012,0.2772,0.0025,0.0025,0.004130497,1.17,46.15,37.8107643,0.636492807,1.161254503,15.47,0.166,4.6,0.44,4.61,1877,7.366
Inflow,4/25/12,4,2012,0.2976,0.0025,0.0025,0.007330045,1.36,46.48,44.00164491,0.44467304,1.353544955,14.93,0.179,6.2,0.59,4.03,1884,0
Inflow,5/3/12,5,2012,0.2885,0.0025,0.0025,0.001171481,1.18,44.34,38.96310582,1.182274018,1.178338519,15.98,0.175,2.5,0.25,3.18,1892,0
Inflow,5/10/12,5,2012,0.2263,0.0025,0.0025,0.001110914,1.26,44.54,41.18309721,0.464044346,1.255804086,19.17,0.175,2.9,0.26,3.82,1899,0
Inflow,5/17/12,5,2012,0.1699,0.0067,0.0025,0.0005,1.33,46.56,41.09226189,0.296023293,1.32478,18.34,0.176,5.6,0.51,4.38,1906,0.254
Inflow,5/25/12,5,2012,0.1101,0.0025,0.0025,0.005323849,0.9684,42.78,40.50408501,0.25382441,0.960576151,18.85,0.185,2.5,0.23,3.24,1914,0.254
Inflow,5/31/12,5,2012,0.3771,0.0025,0.0025,0.033396039,0.8651,24.93,10.7203501,1.90157201,0.829203961,20.36,0.059,3.6,0.33,4.89,1920,0
Inflow,6/7/12,6,2012,0.4745,0.0025,0.00708,0.874698364,1.656,26.23,20.69901605,8.59146356,0.774221636,20.94,0.119,24.7,2.19,5.01,1927,0
Inflow,6/14/12,6,2012,0.4315,0.0025,0.375027,0.059460612,2.387096,48.5,34.16020683,3.425468223,,20.9,0.144,10,0.96,4.54,1934,0
Inflow,6/21/12,6,2012,0.3992,0.0025,0.005,0.003727818,1.476842,46.75,38.41353591,0.411221818,,22.37,0.163,8.2,0.7,4.44,1941,0
Inflow,6/28/12,6,2012,0.4406,0.0025,0.0103695,0.001510116,1.921208,49.21,40.94542876,0.632678091,1.909328384,22.67,0.163,13.3,1.12,4.44,1948,0
Inflow,7/4/12,7,2012,0.384,0.0025,0.005,0.005936322,1.500896,47.09,41.57049921,0.467973306,1.489959678,22.35,0.168,3,0.26,4.4,1954,0
Inflow,7/12/12,7,2012,0.3761,0.0025,0.005,0.0005,1.557233,44.26,40.26148874,0.654819132,1.551733,24.21,0.173,6,0.49,5.22,1962,0.254
Inflow,7/18/12,7,2012,0.348,0.0025,0.005,0.001526008,1.563563,47.28,41.65750702,0.511665612,1.557036992,23.65,0.172,2.3,0.2,4.69,1968,0
Inflow,7/27/12,7,2012,0.3534,0.0025,0.005,0.003721967,1.637624,47.61,40.65673893,0.65026781,1.628902033,24.33,0.171,4.6,0.38,4.17,1977,13.462
Inflow,8/3/12,8,2012,0.3646,0.02,0.005,0.001541901,1.699025,43.98,37.83256021,0.735599934,1.692483099,24.24,0.158,5.2,0.43,4.99,1984,10.16
Inflow,8/9/12,8,2012,0.4186,0.0025,0.005,0.012411289,1.796507,37.82,33.15250788,0.837013248,1.779095711,24.35,0.148,3.3,0.27,4.14,1990,0
Inflow,8/16/12,8,2012,0.374,0.0025,0.005,0.003719041,1.51862,39.03,38.54586407,0.67864138,1.509900959,24.24,0.158,1.9,0.16,4.08,1997,0
Inflow,8/22/12,8,2012,0.4586,0.0025,0.005,0.003718066,1.307198,34.42,22.80348521,1.645960537,1.298479934,23.59,0.144,4,0.33,4.98,2003,0
Inflow,8/30/12,8,2012,0.4904,0.0025,0.005,0.003717091,1.328087,34.97,27.10374955,2.719123818,1.319369909,23.81,0.127,5.4,0.45,5.1,2011,0
Inflow,9/5/12,9,2012,0.4638,0.0025,0.112303,0.001568388,1.921841,28.64,750.475039,34.46053056,1.807969612,24.53,0.137,4.3,0.35,5.27,2017,0
Inflow,9/13/12,9,2012,0.5101,0.0025,0.005,0.001578983,1.419239,41.17,34.92033355,0.601541934,1.412660017,21.23,0.138,3.6,0.31,3.8,2025,0
Inflow,9/20/12,9,2012,0.5215,0.0025,0.005,0.0005,1.634459,45.22,37.89879851,0.478452727,1.628959,21.38,0.156,3.4,0.3,3.48,2032,0
Inflow,9/27/12,9,2012,0.4616,0.0025,0.005,0.003712215,1.514189,51.39,50.86833026,0.129424215,1.505476785,19.09,0.197,2.7,0.25,4.04,2039,0
Inflow,10/4/12,10,2012,0.4709,0.0025,0.005,0.007943967,1.522418,38.72,27.75371353,0.641650322,1.509474033,19.9,0.204,2,0.17,2.73,2046,0
Inflow,10/11/12,10,2012,0.4708,0.0025,0.224046,0.003710264,1.829423,57.01,52.84646583,0.310037397,1.601666736,17.84,0.191,3.7,0.36,3.1,2053,0
Inflow,10/18/12,10,2012,0.445,0.0025,0.096949,0.012124562,1.599644,56.29,51.32715924,0.257124281,1.490570438,16.48,0.191,5.2,0.5,4.38,2060,0
Inflow,10/25/12,10,2012,0.4049,0.0025,0.124245,0.026781314,1.79714,58.92,51.3607895,0.50486562,,,,,,,2067,0
Inflow,11/1/12,11,2012,0.6804,0.0025,0.005,1.470005356,2.382,22.3,14.04314973,6.226354311,0.906994644,,,,,,2074,0
Inflow,11/9/12,11,2012,0.6077,0.0025,0.012745344,1.477952575,2.214,34.01,17.79024258,12.14617126,0.72330208,9.66,0.122,25.5,2.87,3.28,2082,0
Inflow,11/21/12,11,2012,0.5628,0.0025,0.005,0.044439146,1.248,55.24,39.83677304,1.128544198,1.198560854,11.16,0.167,8,6.87,1.53,2094,0
Inflow,11/29/12,11,2012,0.5392,0.0025,0.026177585,0.029308602,1.972,55.24,41.41336143,0.492114614,1.916513813,8.28,0.17,4.5,0.52,2.37,2102,0
Inflow,12/6/12,12,2012,0.5245,0.0025,0.077086519,0.008787626,1.304,49.62,33.68277164,3.042275324,1.218125856,8.43,0.166,5.9,0.67,2.88,2109,0
Inflow,12/15/12,12,2012,0.56,0.0025,0.046666815,0.000865718,1.6,52.85,39.6952246,0.454467498,1.552467467,9.1,0.162,12.1,1.36,4.13,2118,0
Inflow,12/22/12,12,2012,0.5964,0.0025,0.039,0.023,0.967,43.33,35.974,0.56,0.905003138,9.08,0.155,12.5,1.44,2.23,2125,0
Inflow,12/27/12,12,2012,0.6364,0.0025,0.043,0.016,1.511,42.77,34.899,0.695,1.452382794,8.67,0.155,19.3,2.21,1.8,2130,0
Inflow,1/5/13,1,2013,0.65,0.0025,0.042,0.018,1.374,44.87,31.871,0.423,1.314377688,6.23,0.153,26.6,3.27,1.6,2138,182.372
Inflow,1/10/13,1,2013,0.6289,0.0025,0.03,0.019,0.97,44.02,33.716,0.537,0.920609845,7.23,0.163,28.4,3.42,2.19,2144,159.004
Inflow,1/17/13,1,2013,0.8727,0.015,0.035,0.045,0.98,41.12,32.907,1.779,0.899853083,10.38,0.153,22.4,2.47,1.83,2182,0.254
Inflow,1/24/13,1,2013,0.8812,0.0025,0.041,0.018,1.082,44.48,31.126,0.735,1.022951497,6.08,0.147,33.8,4.15,2.39,2189,4.826
Inflow,3/7/13,3,2013,0.9996,0.0253,0.005,0.028,0.872,35.25,22.033,2.332,0.839349328,8.28,0.106,46.6,5.48,2.25,2200,0
Inflow,3/15/13,3,2013,0.9716,0.0025,0.005,0.03,0.754,38.01,19.761,1.043,0.718816424,10.75,0.101,46.6,5.17,2.05,2208,0
Inflow,3/20/13,3,2013,0.9517,0.0025,0.005,0.013,0.905,37.43,19.866,0.71,0.887823416,10.36,0.099,26.2,2.91,2.55,2213,0
Inflow,3/28/13,3,2013,0.9162,0.0025,0.026,0.014,0.994,39.09,21.168,0.7,0.954262254,8.93,0.101,16.1,1.85,2.71,2221,0
Inflow,4/5/13,4,2013,0.9062,0.0025,0.044,0.01,0.899,36.61,20.32,0.561,0.844117189,10.62,0.097,32,3.55,2.17,2229,2.794
Inflow,4/11/13,4,2013,0.87,0.0025,0.016,0.025,0.942,39.69,20.606,0.762,0.900069316,14.42,0.102,25.6,2.62,3.18,2235,0
Inflow,4/18/13,4,2013,0.8452,0.0025,0.022,0.021,1.254,43.56,21.846,0.295,1.211450228,17.27,0.108,5.1,0.47,3.94,2242,0
Inflow,4/26/13,4,2013,0.9239,0.0025,0.015,0.023,1.08,45.46,22.021,0.927,1.042503176,14.93,0.109,4,0.39,3.52,2250,0
Inflow,5/2/13,5,2013,0.9104,0.0025,0.033,0.031,1.662,46.06,20.519,0.926,1.597688715,16.25,0.104,6.4,0.62,3.05,2256,0
Inflow,5/9/13,5,2013,0.8827,0.0025,0.015,0.036,1.322,53.01,22.568,0.762,1.271416628,16.66,0.111,6,0.54,3.2,2263,2.54
Inflow,5/15/13,5,2013,0.844,0.0025,0.005,0.032,1.421,53.61,23.409,0.712,1.38371655,19.05,0.113,10,0.92,2.41,2269,0
Inflow,5/23/13,5,2013,0.8167,0.0025,0.012,0.04,1.888,69.88,26.616,0.435,1.835426926,21.72,0.133,4.9,0.43,3.12,2277,5.842
Inflow,5/29/13,5,2013,0.778,0.0025,0.005,0.012,1.519,65.48,28.516,0.346,1.501699448,19.31,0.138,4.4,0.39,2.75,2283,0
Inflow,6/5/13,6,2013,0.7436,0.0025,0.012,0.016,1.521,62.37,31.497,0.19,1.492866172,,,,,,2290,0
Inflow,6/14/13,6,2013,0.8457,0.026,0.455,0.049,1.649,32.79,12.847,3.762,1.144649627,,,,,,2299,0.254
Inflow,6/19/13,6,2013,0.8682,0.0025,0.005,0.013,1.491,50.21,22.821,0.499,1.472661423,,,,,,2304,0.762
Inflow,6/28/13,6,2013,0.8652,0.0025,0.168,0.028,1.721,58.18,25.434,0.279,1.524410822,22.91,0.128,15.7,1.33,3.62,2313,16.002
Inflow,7/6/13,7,2013,0.9633,0.0025,0.074,1.994,2.89,26.97,12.831,11.974,0.822899972,25.89,0.128,2.7,0.22,4.81,2321,0
Inflow,7/11/13,7,2013,0.8974,0.0025,0.015,0.869,1.749,32.85,14.544,8.717,0.864715928,25.31,0.116,18,1.48,4.18,2326,14.732
Inflow,7/18/13,7,2013,0.8677,0.0025,0.054,0.038,1.535,59.25,28.196,1.566,1.44260373,24.43,0.114,5,0.42,2.03,2333,0
Inflow,7/25/13,7,2013,0.8683,0.0025,0.215,0.024,1.898,64.23,22.801,0.348,1.659019573,24.22,0.121,3.1,0.25,3.64,2340,0.254
Inflow,8/1/13,8,2013,0.8483,0.0025,0.012,0.024,1.843,76.04,21.006,0.609,1.806872945,24.17,0.117,6.1,0.51,3.06,2347,5.334
Inflow,8/9/13,8,2013,0.8598,0.011,0.035,0.025,1.87,75.62,21.369,0.478,1.809732414,23.11,0.12,9.8,0.74,3.89,2355,0
Inflow,8/16/13,8,2013,1.0187,0.0025,0.026,0.096,0.919,27.58,11.824,7.263,0.795936889,22.1,0.077,7.5,0.64,4.34,2362,2.286
Inflow,8/23/13,8,2013,1.093,0.0025,0.005,0.036,1.383,33.83,9.17,4.131,1.342192565,24.64,0.106,6.6,0.55,4.48,2369,23.622
Inflow,8/30/13,8,2013,1.0104,0.0025,0.0152,0.031,1.242,40.27,11.676,4.995,1.195734557,22.24,0.087,5.3,0.44,4.25,2376,0
Inflow,9/6/13,9,2013,0.9619,0.0025,0.0342,0.024,1.911,65.372,13.866,1.207,1.85220436,22.74,0.087,2.6,0.22,2.43,2383,0
Inflow,9/12/13,9,2013,0.9018,0.0025,0.034,0.047,2.036,72.072,14.859,1.099,1.955097743,21.48,0.093,4.6,0.42,2.97,2389,0
Inflow,9/19/13,9,2013,0.8573,0.0358,0.0328,0.001,1.937,72.217,15.706,1.033,1.903523565,19.84,0.097,4,0.36,3.05,2396,0
Inflow,9/27/13,9,2013,0.8285,0.0108,0.0308,0.007,1.864,72.092,17.131,0.822,1.826154726,18.64,0.098,6.3,0.59,4.06,2404,0
Inflow,10/3/13,10,2013,0.7841,0.0118,0.0415,0.032,2.016,76.199,19.234,0.819,1.942618149,18.59,0.108,6.7,0.6,3.7,2410,0
Inflow,10/11/13,10,2013,1.1496,0.0025,0.005,0.07,0.87,20.885,9.193,4.625,0.795551465,20.35,0.067,14.2,1.27,4.53,2418,1.016
